행정구역별(읍면동)	총인구 (명)	남자 (명)	여자 (명)	내국인-계 (명)	내국인-남자 (명)	내국인-여자 (명)	외국인-계 (명)	외국인-남자 (명)	외국인-여자 (명)	가구-계 (가구)	일반가구 (가구)	집단가구 (가구)	외국인가구 (가구)	주택-계 (호)	단독주택 (호)	아파트 (호)	연립주택 (호)	다세대주택 (호)	비거주용 건물내 주택 (호)	주택이외의 거처 (호)
세종특별자치시	353933.0	177939.0	175994.0	346689.0	173541.0	173148.0	7244.0	4398.0	2846.0	141133.0	139106.0	120.0	1907.0	136887.0	16178.0	117312.0	1142.0	1547.0	708.0	3376.0
　　　읍부	48736.0	25411.0	23325.0	46737.0	24367.0	22370.0	1999.0	1044.0	955.0	22514.0	21684.0	31.0	799.0	16670.0	2914.0	11760.0	739.0	890.0	367.0	368.0
　　　면부	52383.0	29029.0	23354.0	48927.0	26496.0	22431.0	3456.0	2533.0	923.0	25331.0	24472.0	81.0	778.0	18708.0	12749.0	4751.0	216.0	651.0	341.0	1199.0
　　　동부	252814.0	123499.0	129315.0	251025.0	122678.0	128347.0	1789.0	821.0	968.0	93288.0	92950.0	8.0	330.0	101509.0	515.0	100801.0	187.0	6.0	X	1809.0
　　　세종시	353933.0	177939.0	175994.0	346689.0	173541.0	173148.0	7244.0	4398.0	2846.0	141133.0	139106.0	120.0	1907.0	136887.0	16178.0	117312.0	1142.0	1547.0	708.0	3376.0
경기도	1.3511676E7	6828367.0	6683309.0	1.2928214E7	6489718.0	6438496.0	583462.0	338649.0	244813.0	5294836.0	5098431.0	4080.0	192325.0	4495115.0	505382.0	3146667.0	130354.0	677652.0	35060.0	298634.0
　　　읍부	1488992.0	774958.0	714034.0	1405270.0	720626.0	684644.0	83722.0	54332.0	29390.0	580183.0	556629.0	632.0	22922.0	538176.0	83897.0	332697.0	24238.0	91815.0	5529.0	24359.0
　　　면부	810588.0	447488.0	363100.0	721331.0	379102.0	342229.0	89257.0	68386.0	20871.0	327534.0	306135.0	1107.0	20292.0	279513.0	164344.0	62468.0	9199.0	36898.0	6604.0	30036.0
　　　동부	1.1212096E7	5605921.0	5606175.0	1.0801613E7	5389990.0	5411623.0	410483.0	215931.0	194552.0	4387119.0	4235667.0	2341.0	149111.0	3677426.0	257141.0	2751502.0	96917.0	548939.0	22927.0	244239.0
　　　수원시	1210150.0	609616.0	600534.0	1154820.0	581043.0	573777.0	55330.0	28573.0	26757.0	488201.0	466089.0	258.0	21854.0	372228.0	31396.0	272352.0	8721.0	57249.0	2510.0	23335.0
　　　장안구	278507.0	140771.0	137736.0	268549.0	135646.0	132903.0	9958.0	5125.0	4833.0	108181.0	104418.0	82.0	3681.0	85399.0	8538.0	55266.0	1738.0	19134.0	723.0	1292.0
