Code,Year,Age,   ASFR
    AUS,1985,46,0.00045
    AUS,1985,47,0.00025
    AUS,1985,48,0.00015
    AUS,1985,49,0.00004
    AUS,1985,50,0.00001
    AUS,1986,14,0.0002
    AUS,1986,15,0.00165
    AUS,1986,16,0.00635
    AUS,1986,17,0.0147
    AUS,1986,18,0.0268
    AUS,1986,19,0.03945
    AUS,1986,20,0.05215
    AUS,1986,21,0.06465
    AUS,1986,22,0.07985
    AUS,1986,23,0.09715
    AUS,1986,24,0.11415
    AUS,1986,25,0.1292
    AUS,1986,26,0.1412
    AUS,1986,27,0.14725
    AUS,1986,28,0.14555
    AUS,1986,29,0.13975
    AUS,1986,30,0.12765
    AUS,1986,31,0.11255
    AUS,1986,32,0.0964
    AUS,1986,33,0.07975
    AUS,1986,34,0.065
    AUS,1986,35,0.05115
    AUS,1986,36,0.0397
    AUS,1986,37,0.03015
    AUS,1986,38,0.0222
    AUS,1986,39,0.0157
    AUS,1986,40,0.0106
    AUS,1986,41,0.00715
    AUS,1986,42,0.0045
    AUS,1986,43,0.00265
    AUS,1986,44,0.00155
    AUS,1986,45,0.00085
    AUS,1986,46,0.00045
    AUS,1986,47,0.0002
    AUS,1986,48,0.00004
    AUS,1986,49,0.00001
    AUS,1986,50,0
    AUS,1987,14,0.00019
    AUS,1987,15,0.00161
    AUS,1987,16,0.0061
    AUS,1987,17,0.014
    AUS,1987,18,0.0253
    AUS,1987,19,0.03715
    AUS,1987,20,0.0493
    AUS,1987,21,0.0616
    AUS,1987,22,0.07505
    AUS,1987,23,0.09115
    AUS,1987,24,0.10815
    AUS,1987,25,0.12445
    AUS,1987,26,0.13635
    AUS,1987,27,0.14255
    AUS,1987,28,0.14435
    AUS,1987,29,0.14015
    AUS,1987,30,0.12975
    AUS,1987,31,0.11325
    AUS,1987,32,0.09675
    AUS,1987,33,0.0825
    AUS,1987,34,0.06745
    AUS,1987,35,0.0541
    AUS,1987,36,0.04175
    AUS,1987,37,0.0311
    AUS,1987,38,0.02295
    AUS,1987,39,0.0166
    AUS,1987,40,0.01185
    AUS,1987,41,0.0077
    AUS,1987,42,0.0049
    AUS,1987,43,0.003
    AUS,1987,44,0.0016
    AUS,1987,45,0.00085
    AUS,1987,46,0.00055
    AUS,1987,47,0.0003
    AUS,1987,48,0.00015
    AUS,1987,49,0.00009
    AUS,1987,50,0.00005
    AUS,1988,14,0.00017
    AUS,1988,15,0.00144
    AUS,1988,16,0.00605
    AUS,1988,17,0.0137
    AUS,1988,18,0.02375
    AUS,1988,19,0.0357
    AUS,1988,20,0.04865
    AUS,1988,21,0.0598
    AUS,1988,22,0.07275
    AUS,1988,23,0.0877
    AUS,1988,24,0.10275
    AUS,1988,25,0.1192
    AUS,1988,26,0.132
    AUS,1988,27,0.1387
    AUS,1988,28,0.1421
    AUS,1988,29,0.13965
    AUS,1988,30,0.13085
    AUS,1988,31,0.11715
    AUS,1988,32,0.09975
    AUS,1988,33,0.0838
    AUS,1988,34,0.0698
    AUS,1988,35,0.0564
    AUS,1988,36,0.044
    AUS,1988,37,0.03315
    AUS,1988,38,0.0245
    AUS,1988,39,0.01785
    AUS,1988,40,0.01225
    AUS,1988,41,0.00755
    AUS,1988,42,0.00465
    AUS,1988,43,0.00295
    AUS,1988,44,0.0015
    AUS,1988,45,0.00075
    AUS,1988,46,0.00045
    AUS,1988,47,0.0002
    AUS,1988,48,0.0001
    AUS,1988,49,0.00003
    AUS,1988,50,0.00001
    AUS,1989,14,0.0002
    AUS,1989,15,0.0017
    AUS,1989,16,0.0064
    AUS,1989,17,0.01395
    AUS,1989,18,0.02415
    AUS,1989,19,0.0349
    AUS,1989,20,0.04635
    AUS,1989,21,0.0579
    AUS,1989,22,0.0705
    AUS,1989,23,0.0851
    AUS,1989,24,0.09975
    AUS,1989,25,0.11515
    AUS,1989,26,0.1296
    AUS,1989,27,0.1382
    AUS,1989,28,0.1398
    AUS,1989,29,0.13845
    AUS,1989,30,0.1318
    AUS,1989,31,0.1183
    AUS,1989,32,0.1037
    AUS,1989,33,0.08815
    AUS,1989,34,0.07295
    AUS,1989,35,0.059
    AUS,1989,36,0.04685
    AUS,1989,37,0.036
    AUS,1989,38,0.02625
    AUS,1989,39,0.0192
    AUS,1989,40,0.0132
    AUS,1989,41,0.00845
    AUS,1989,42,0.00535
    AUS,1989,43,0.00305
    AUS,1989,44,0.0017
    AUS,1989,45,0.00095
    AUS,1989,46,0.0004
    AUS,1989,47,0.00015
    AUS,1989,48,0.00004
    AUS,1989,49,0.00001
    AUS,1989,50,0
    AUS,1990,14,0.0002
    AUS,1990,15,0.00165
    AUS,1990,16,0.0061
    AUS,1990,17,0.0145
    AUS,1990,18,0.02595
    AUS,1990,19,0.0369
    AUS,1990,20,0.0481
    AUS,1990,21,0.0597
    AUS,1990,22,0.0718
    AUS,1990,23,0.08575
    AUS,1990,24,0.10085
    AUS,1990,25,0.1153
    AUS,1990,26,0.1289
    AUS,1990,27,0.14015
    AUS,1990,28,0.1457
    AUS,1990,29,0.1429
    AUS,1990,30,0.135
    AUS,1990,31,0.12395
    AUS,1990,32,0.1105
    AUS,1990,33,0.09485
    AUS,1990,34,0.07755
    AUS,1990,35,0.0636
    AUS,1990,36,0.0504
    AUS,1990,37,0.03735
    AUS,1990,38,0.02805
    AUS,1990,39,0.0201
    AUS,1990,40,0.0141
    AUS,1990,41,0.00965
    AUS,1990,42,0.0057
    AUS,1990,43,0.00335
    AUS,1990,44,0.0017
    AUS,1990,45,0.0008
    AUS,1990,46,0.00045
    AUS,1990,47,0.0002
    AUS,1990,48,0.00004
    AUS,1990,49,0.00001
    AUS,1990,50,0
    AUS,1991,14,0.00019
    AUS,1991,15,0.00161
    AUS,1991,16,0.00625
    AUS,1991,17,0.0144
    AUS,1991,18,0.0258
    AUS,1991,19,0.03715
    AUS,1991,20,0.0467
    AUS,1991,21,0.0565
    AUS,1991,22,0.06845
    AUS,1991,23,0.08195
    AUS,1991,24,0.09565
    AUS,1991,25,0.1095
    AUS,1991,26,0.1235
    AUS,1991,27,0.1334
    AUS,1991,28,0.13855
    AUS,1991,29,0.13755
    AUS,1991,30,0.1303
    AUS,1991,31,0.1202
    AUS,1991,32,0.10725
    AUS,1991,33,0.0933
    AUS,1991,34,0.0788
    AUS,1991,35,0.0637
    AUS,1991,36,0.05095
    AUS,1991,37,0.03925
    AUS,1991,38,0.02935
    AUS,1991,39,0.0217
    AUS,1991,40,0.01435
    AUS,1991,41,0.0092
    AUS,1991,42,0.00595
    AUS,1991,43,0.0037
    AUS,1991,44,0.0021
    AUS,1991,45,0.00095
    AUS,1991,46,0.00045
    AUS,1991,47,0.0002
    AUS,1991,48,0.00004
    AUS,1991,49,0.00001
    AUS,1991,50,0
    AUS,1992,14,0.00017
    AUS,1992,15,0.00148
    AUS,1992,16,0.00615
    AUS,1992,17,0.01415
    AUS,1992,18,0.0253
    AUS,1992,19,0.03745
    AUS,1992,20,0.0483
    AUS,1992,21,0.057
    AUS,1992,22,0.0669
    AUS,1992,23,0.08075
    AUS,1992,24,0.09565
    AUS,1992,25,0.1091
    AUS,1992,26,0.1215
    AUS,1992,27,0.13235
    AUS,1992,28,0.1388
    AUS,1992,29,0.13995
    AUS,1992,30,0.13535
    AUS,1992,31,0.1244
    AUS,1992,32,0.1114
    AUS,1992,33,0.09835
    AUS,1992,34,0.0835
    AUS,1992,35,0.06855
    AUS,1992,36,0.05445
    AUS,1992,37,0.04175
    AUS,1992,38,0.0313
    AUS,1992,39,0.0226
    AUS,1992,40,0.0162
    AUS,1992,41,0.01075
    AUS,1992,42,0.0064
    AUS,1992,43,0.0038
    AUS,1992,44,0.00215
    AUS,1992,45,0.00115
    AUS,1992,46,0.00055
    AUS,1992,47,0.00025
    AUS,1992,48,0.00015
    AUS,1992,49,0.00009
    AUS,1992,50,0.00005
    AUS,1993,14,0.00019
    AUS,1993,15,0.00156
    AUS,1993,16,0.00605
    AUS,1993,17,0.0139
    AUS,1993,18,0.02425
    AUS,1993,19,0.0354
    AUS,1993,20,0.04685
    AUS,1993,21,0.05535
    AUS,1993,22,0.06375
    AUS,1993,23,0.0754
    AUS,1993,24,0.0888
    AUS,1993,25,0.1042
    AUS,1993,26,0.11955
    AUS,1993,27,0.12915
    AUS,1993,28,0.1354
    AUS,1993,29,0.13855
    AUS,1993,30,0.13555
    AUS,1993,31,0.12665
    AUS,1993,32,0.1133
    AUS,1993,33,0.09835
    AUS,1993,34,0.0834
    AUS,1993,35,0.0686
    AUS,1993,36,0.05495
    AUS,1993,37,0.0423
    AUS,1993,38,0.03185
    AUS,1993,39,0.02385
    AUS,1993,40,0.01655
    AUS,1993,41,0.0109
    AUS,1993,42,0.00665
    AUS,1993,43,0.00405
    AUS,1993,44,0.0022
    AUS,1993,45,0.001
    AUS,1993,46,0.00045
    AUS,1993,47,0.00025
    AUS,1993,48,0.00015
    AUS,1993,49,0.00004
    AUS,1993,50,0.00001
    AUS,1994,14,0.00022
    AUS,1994,15,0.00182
    AUS,1994,16,0.00655
    AUS,1994,17,0.01385
    AUS,1994,18,0.0234
    AUS,1994,19,0.03495
    AUS,1994,20,0.0457
    AUS,1994,21,0.05385
    AUS,1994,22,0.06275
    AUS,1994,23,0.07265
    AUS,1994,24,0.0859
    AUS,1994,25,0.1009
    AUS,1994,26,0.1146
    AUS,1994,27,0.12545
    AUS,1994,28,0.1319
    AUS,1994,29,0.1351
    AUS,1994,30,0.13225
    AUS,1994,31,0.1242
    AUS,1994,32,0.11385
    AUS,1994,33,0.0999
    AUS,1994,34,0.0848
    AUS,1994,35,0.0707
    AUS,1994,36,0.0572
    AUS,1994,37,0.04515
    AUS,1994,38,0.034
    AUS,1994,39,0.02495
    AUS,1994,40,0.01795
    AUS,1994,41,0.01155
    AUS,1994,42,0.00725
    AUS,1994,43,0.0043
    AUS,1994,44,0.0021
    AUS,1994,45,0.001
    AUS,1994,46,0.0005
    AUS,1994,47,0.0002
    AUS,1994,48,0.0001
    AUS,1994,49,0.00008
    AUS,1994,50,0.00007
    AUS,1995,14,0.00019
    AUS,1995,15,0.00161
    AUS,1995,16,0.0065
    AUS,1995,17,0.0141
    AUS,1995,18,0.0236
    AUS,1995,19,0.03475
    AUS,1995,20,0.04465
