Country,Year,porteqassets
Netherlands,1970,3023.381321
Netherlands,1971,3851.453333
Netherlands,1972,5224.937726
Netherlands,1973,4938.57374
Netherlands,1974,3897.980339
Netherlands,1975,5508.618294
Netherlands,1976,5859.213904
Netherlands,1977,5533.407279
Netherlands,1978,6213.36216
Netherlands,1979,6124.365929
Netherlands,1980,6906.441581
Netherlands,1981,6098.747989
Netherlands,1982,6418.75
Netherlands,1983,7452.44
Netherlands,1984,7048.88
Netherlands,1985,10473.3
Netherlands,1986,18111.31
Netherlands,1987,21772.15
Netherlands,1988,25856.46
Netherlands,1989,34038.11
Netherlands,1990,33255.09
Netherlands,1991,42096.41
Netherlands,1992,44209.03
Netherlands,1993,59663.35
Netherlands,1994,67258.17922
Netherlands,1995,91747.07876
Netherlands,1996,107708.2853
Netherlands,1997,124066.2948
Netherlands,1998,173148.9762
Netherlands,1999,249426.1064
Netherlands,2000,253589.165
Netherlands,2001,235023.3214
Netherlands,2002,217387.1204
Netherlands,2003,349816.899
Netherlands,2004,442993.0588
Netherlands,2005,474962.5561
Netherlands,2006,554983.8
Netherlands,2007,644101.1619
Netherlands,2008,408681.0552
Netherlands,2009,561056.076
Netherlands,2010,615496.4784
Netherlands,2011,584706.9405
New Zealand,1970,0
New Zealand,1971,0
New Zealand,1972,0
New Zealand,1973,0
New Zealand,1974,0
New Zealand,1975,0
New Zealand,1976,0
New Zealand,1977,0
New Zealand,1978,0
New Zealand,1979,0
New Zealand,1980,0
New Zealand,1981,0
New Zealand,1982,0
New Zealand,1983,0
New Zealand,1984,0
New Zealand,1985,0
New Zealand,1986,0
New Zealand,1987,0
New Zealand,1988,235.7148513
New Zealand,1989,432.4015995
New Zealand,1990,626.1011045
New Zealand,1991,900.5262851
New Zealand,1992,874.3196158
New Zealand,1993,1666.42278
New Zealand,1994,2165.826956
New Zealand,1995,3232.695545
New Zealand,1996,3586.169151
New Zealand,1997,5002
New Zealand,1998,5874.79395
New Zealand,1999,8446.950299
New Zealand,2000,8783.151941
New Zealand,2001,11841.3345
New Zealand,2002,12987.1755
New Zealand,2003,18112.25
New Zealand,2004,22761.0672
New Zealand,2005,25613.1446
New Zealand,2006,30420.7605
New Zealand,2007,37083.114
New Zealand,2008,19552.143
New Zealand,2009,30013.3379
New Zealand,2010,35508.41498
New Zealand,2011,33077.15114
Norway,1970,108.9851136
Norway,1971,95.38889939
Norway,1972,131.3536158
Norway,1973,148.226331
Norway,1974,163.2612533
Norway,1975,150.3906621
Norway,1976,174
Norway,1977,166
Norway,1978,192
Norway,1979,194
Norway,1980,497.9483607
Norway,1981,425.4590591
Norway,1982,399.3271823
Norway,1983,439.1888259
Norway,1984,371.4300631
Norway,1985,453.5425351
Norway,1986,823.2969619
Norway,1987,1298.648773
Norway,1988,1528.30733
Norway,1989,2266.857829
Norway,1990,2657.401022
Norway,1991,3584.049022
Norway,1992,4013.612922
Norway,1993,5101.155821
Norway,1994,4929.042451
Norway,1995,6383.10021
Norway,1996,8946.298862
Norway,1997,12825.2931
Norway,1998,25280.13158
Norway,1999,35166.49045
Norway,2000,43899.19195
Norway,2001,41570.75325
Norway,2002,55418.69442
Norway,2003,67157.48503
Norway,2004,99439.7351
Norway,2005,125958.6411
Norway,2006,174889.9361
Norway,2007,248248.0591
Norway,2008,203333
Norway,2009,353413.6678
Norway,2010,408184.6416
Norway,2011,402120.3673
Spain,1970,69.98948639
Spain,1971,80.90149843
Spain,1972,97.04127055
Spain,1973,83.85846578
Spain,1974,76.90918282
Spain,1975,118.4251849
Spain,1976,145.4973261
Spain,1977,143.2883003
Spain,1978,165.5102077
Spain,1979,194.7058755
Spain,1980,253.6158027
Spain,1981,246.3245018
Spain,1982,359.4776113
Spain,1983,432.9064388
Spain,1984,635.3390764
Spain,1985,1199.874014
Spain,1986,2227.801092
Spain,1987,2520.098755
Spain,1988,3201.847906
Spain,1989,3866.133623
Spain,1990,3456.66494
Spain,1991,4386.765868
Spain,1992,4236.750003
Spain,1993,5952.727859
Spain,1994,7149.462172
Spain,1995,8935.079739
Spain,1996,10727.06386
Spain,1997,22307
Spain,1998,37804.74957
Spain,1999,67167.09166
Spain,2000,90044.65312
Spain,2001,65741.19041
Spain,2002,53181.44284
Spain,2003,79161.44115
Spain,2004,106315.5844
Spain,2005,122873.4217
Spain,2006,175415.2638
Spain,2007,195722.2378
Spain,2008,87880.89941
Spain,2009,113217.5986
Spain,2010,123547.9853
Spain,2011,100684.5405
Sweden,1970,254.3261845
Sweden,1971,298.1056484
Sweden,1972,355.3145865
Sweden,1973,290.6241173
Sweden,1974,209.7367316
Sweden,1975,275.1113473
Sweden,1976,298.7061343
Sweden,1977,280.3283031
Sweden,1978,306.6340382
Sweden,1979,323.9532654
Sweden,1980,398.6105983
Sweden,1981,372.6365668
Sweden,1982,411.27
Sweden,1983,499.94
Sweden,1984,444.96
Sweden,1985,787.87
Sweden,1986,1026.54
Sweden,1987,1025.99
Sweden,1988,1786.58
Sweden,1989,7547.78
Sweden,1990,10354.51
Sweden,1991,14829.55
Sweden,1992,11216.81
Sweden,1993,15053.89294
Sweden,1994,18226.89808
Sweden,1995,29737.76696
Sweden,1996,38858.97249
Sweden,1997,51247.04837
Sweden,1998,71207.04627
Sweden,1999,109677.4194
Sweden,2000,98479.28684
Sweden,2001,105085.5402
Sweden,2002,94957.50708
Sweden,2003,142574.9736
Sweden,2004,179149.1549
Sweden,2005,202176.3168
Sweden,2006,259745.9356
Sweden,2007,311369.5896
Sweden,2008,184492.8687
Sweden,2009,279631.8415
Sweden,2010,333881.8427
Sweden,2011,294703.4569
Switzerland,1970,1530.966318
Switzerland,1971,2824.267834
Switzerland,1972,3762.937229
Switzerland,1973,4238.000394
Switzerland,1974,5276.318483
Switzerland,1975,6183.015034
Switzerland,1976,7092.109548
Switzerland,1977,7102.351786
Switzerland,1978,7844.914028
Switzerland,1979,8067.6827
Switzerland,1980,9972.738934
Switzerland,1981,9089.345923
Switzerland,1982,9894.001731
Switzerland,1983,12361.55
Switzerland,1984,13663.09
Switzerland,1985,23243.97
Switzerland,1986,33142.04
Switzerland,1987,36440.61
Switzerland,1988,36888.36436
Switzerland,1989,46082.8322
Switzerland,1990,41584.02161
Switzerland,1991,51634.89487
Switzerland,1992,56415.59066
Switzerland,1993,88919.16188
Switzerland,1994,100796.7976
Switzerland,1995,120543.2421
Switzerland,1996,138922.6084
Switzerland,1997,165437.7792
Switzerland,1998,209630.0959
Switzerland,1999,259995.0338
Switzerland,2000,267273.9456
Switzerland,2001,243702.6555
Switzerland,2002,218272.0803
Switzerland,2003,293656.281
Switzerland,2004,339470.2245
Switzerland,2005,357349.1121
Switzerland,2006,421497.0507
Switzerland,2007,511291.8036
Switzerland,2008,318468.3689
Switzerland,2009,398894.4347
Switzerland,2010,441373.7963
Switzerland,2011,426351.3466
Turkey,1970,0
Turkey,1971,0
Turkey,1972,0
Turkey,1973,0
Turkey,1974,0
Turkey,1975,0
Turkey,1976,5
Turkey,1977,1.25
Turkey,1978,5
Turkey,1979,5
Turkey,1980,3.75
Turkey,1981,2.5
Turkey,1982,2.5
Turkey,1983,13.75
Turkey,1984,15
Turkey,1985,22.5
Turkey,1986,21.25
Turkey,1987,47.50710656
Turkey,1988,64.09937329
Turkey,1989,137.5464435
Turkey,1990,238.5191945
Turkey,1991,375.0628835
Turkey,1992,399.5451305
Turkey,1993,636.5716346
Turkey,1994,649.7942739
Turkey,1995,840.798207
Turkey,1996,925.3952272
Turkey,1997,1096.518235
Turkey,1998,1338.038009
Turkey,1999,1725.554943
Turkey,2000,1495.503983
Turkey,2001,1271.466619
Turkey,2002,1048.38734
Turkey,2003,1419.162305
Turkey,2004,1635.35397
Turkey,2005,1801.112422
Turkey,2006,2139.393247
Turkey,2007,2438.908302
Turkey,2008,1377.0529
Turkey,2009,1811.017226
Turkey,2010,1988.679289
Turkey,2011,1801.537999
United Kingdom,1970,11798.3616
United Kingdom,1971,13756.8467
United Kingdom,1972,18128.99296
United Kingdom,1973,14436.13573
United Kingdom,1974,8993.041828
United Kingdom,1975,11718.70207
United Kingdom,1976,12788.44674
United Kingdom,1977,12456.47722
United Kingdom,1978,16204.05636
United Kingdom,1979,19323.59581
United Kingdom,1980,32030.54999
United Kingdom,1981,34712.24398
United Kingdom,1982,43078.08897
United Kingdom,1983,57873.13756
United Kingdom,1984,55471.52245
United Kingdom,1985,81888.70494
United Kingdom,1986,120359.0115
United Kingdom,1987,125188.378
United Kingdom,1988,165285.1585
United Kingdom,1989,220778.727
United Kingdom,1990,195327.608
United Kingdom,1991,239472.0484
United Kingdom,1992,209935.152
United Kingdom,1993,287395.7548
United Kingdom,1994,291917.1875
United Kingdom,1995,336303.5
United Kingdom,1996,404674.152
United Kingdom,1997,466938.8534
United Kingdom,1998,505148.391
United Kingdom,1999,678652.0056
United Kingdom,2000,640632.7962
United Kingdom,2001,586881.1536
United Kingdom,2002,493035.1138
United Kingdom,2003,663872.706
United Kingdom,2004,879358.6944
United Kingdom,2005,1062670.585
United Kingdom,2006,1361079.421
United Kingdom,2007,1515658.246
United Kingdom,2008,824018.5344
United Kingdom,2009,1079254.234
United Kingdom,2010,1175214.588
United Kingdom,2011,1049441.659
United States,1970,6437
United States,1971,7641
United States,1972,10537
United States,1973,10026
United States,1974,9011
United States,1975,9585
United States,1976,9453
United States,1977,10110
United States,1978,11236
United States,1979,14803
United States,1980,18930
United States,1981,16467
United States,1982,17442
United States,1983,26154
United States,1984,25994
United States,1985,44383
United States,1986,72399
United States,1987,94700
United States,1988,128662
United States,1989,197345
United States,1990,197596
United States,1991,278976
United States,1992,314266
United States,1993,543862
United States,1994,626762
United States,1995,790615
United States,1996,1006135
United States,1997,1207787
United States,1998,1474983
United States,1999,2003716
United States,2000,1852842
United States,2001,1612673
United States,2002,1373980
United States,2003,2079422
United States,2004,2560418
United States,2005,3317705
United States,2006,4328960
United States,2007,5247990
United States,2008,2748428
United States,2009,3995295
United States,2010,4900246
United States,2011,4501438
