Country,Year,debtassets
Italy,1995,414330.6
Italy,1996,526343.2
Italy,1997,561985.9459
Italy,1998,728571.7742
Italy,1999,661063.9702
Italy,2000,619509.2205
Italy,2001,605901.6817
Italy,2002,695004.951
Italy,2003,905807.181
Italy,2004,1058110.608
Italy,2005,1114039.078
Italy,2006,1376775.996
Italy,2007,1500982.602
Italy,2008,1318591.216
Italy,2009,1378723.349
Italy,2010,1197951.403
Italy,2011,1157121.831
Japan,1970,23562.89452
Japan,1971,24165.38845
Japan,1972,32186.78194
Japan,1973,33748.56805
Japan,1974,18498.61977
Japan,1975,39081.55541
Japan,1976,45279.10361
Japan,1977,53789.43267
Japan,1978,83492.64536
Japan,1979,95048.67034
Japan,1980,112564.9885
Japan,1981,154644.362
Japan,1982,173310.5522
Japan,1983,211169.059
Japan,1984,272926.008
Japan,1985,360767.4991
Japan,1986,612479.4616
Japan,1987,884861.5048
Japan,1988,1226769.685
Japan,1989,1470003.129
Japan,1990,1513769.045
Japan,1991,1621740.777
Japan,1992,1637939.482
Japan,1993,1712781.269
Japan,1994,1902510.9
Japan,1995,2060120
Japan,1996,2017530
Japan,1997,2081570
Japan,1998,2285989.365
Japan,1999,2187377.965
Japan,2000,2064590.635
Japan,2001,1950631.259
Japan,2002,2066039.891
Japan,2003,2311887.208
Japan,2004,2583491.72
Japan,2005,2626414.004
Japan,2006,2814130.93
Japan,2007,3232790.457
Japan,2008,3543994.745
Japan,2009,3594408.639
Japan,2010,4219090.238
Japan,2011,4513201.027
Luxembourg,1970,n.a.
Luxembourg,1971,n.a.
Luxembourg,1972,n.a.
Luxembourg,1973,n.a.
Luxembourg,1974,n.a.
Luxembourg,1975,n.a.
Luxembourg,1976,n.a.
Luxembourg,1977,n.a.
Luxembourg,1978,n.a.
Luxembourg,1979,n.a.
Luxembourg,1980,n.a.
Luxembourg,1981,n.a.
Luxembourg,1982,n.a.
Luxembourg,1983,n.a.
Luxembourg,1984,n.a.
Luxembourg,1985,n.a.
Luxembourg,1986,n.a.
Luxembourg,1987,n.a.
Luxembourg,1988,n.a.
Luxembourg,1989,n.a.
Luxembourg,1990,608361.767
Luxembourg,1991,609897.4872
Luxembourg,1992,643252.6879
Luxembourg,1993,624334.915
Luxembourg,1994,761363.9666
Luxembourg,1995,877450.8588
Luxembourg,1996,829822.6555
Luxembourg,1997,767795.5234
Luxembourg,1998,845565.2618
Luxembourg,1999,805722.1374
Luxembourg,2000,783087.2547
Luxembourg,2001,903663.2505
Luxembourg,2002,1210596.073
Luxembourg,2003,1552649.03
Luxembourg,2004,1867246.269
Luxembourg,2005,2037748.797
Luxembourg,2006,2637379.28
Luxembourg,2007,3287835.805
Luxembourg,2008,2937594.438
Luxembourg,2009,3022866.674
Luxembourg,2010,3041155.907
Luxembourg,2011,3034676.12
Netherlands,1970,9666.552508
Netherlands,1971,12210.51245
Netherlands,1972,14182.24162
Netherlands,1973,18979.78062
Netherlands,1974,23642.94793
Netherlands,1975,27868.90944
Netherlands,1976,36726.46221
Netherlands,1977,44057.2793
Netherlands,1978,58291.40184
Netherlands,1979,67515.15377
Netherlands,1980,74280.29319
Netherlands,1981,72839.74888
Netherlands,1982,70352.45
Netherlands,1983,75256.65
Netherlands,1984,74555.86
Netherlands,1985,97985.21
Netherlands,1986,127968.11
Netherlands,1987,163278.24
Netherlands,1988,164881.7
Netherlands,1989,191230.5
Netherlands,1990,252703.07
Netherlands,1991,268311.94
Netherlands,1992,262135.94
Netherlands,1993,274419.6
Netherlands,1994,200071.6763
Netherlands,1995,339421.9587
Netherlands,1996,355433.0558
Netherlands,1997,391641.5012
Netherlands,1998,526175.5295
Netherlands,1999,497992.2752
Netherlands,2000,529540.106
Netherlands,2001,610277.3362
Netherlands,2002,785065.2096
Netherlands,2003,1020776.808
Netherlands,2004,1256451.438
Netherlands,2005,1286034.619
Netherlands,2006,1668167.514
Netherlands,2007,2049226.5
Netherlands,2008,1769266.818
Netherlands,2009,1803672.977
Netherlands,2010,1748517.915
Netherlands,2011,1838458.517
New Zealand,1970,137.0869036
New Zealand,1971,140.7913954
New Zealand,1972,193.0853484
New Zealand,1973,194.4273757
New Zealand,1974,269.8104051
New Zealand,1975,302.1063742
New Zealand,1976,306.0967471
New Zealand,1977,434.98063
New Zealand,1978,505.36658
New Zealand,1979,698.72032
New Zealand,1980,652.67091
New Zealand,1981,657.260999
New Zealand,1982,807.435499
New Zealand,1983,832.434479
New Zealand,1984,1620
New Zealand,1985,1996
New Zealand,1986,3530
New Zealand,1987,4782
New Zealand,1988,5368
New Zealand,1989,4545
New Zealand,1990,5274
New Zealand,1991,3959
New Zealand,1992,3527
New Zealand,1993,3033
New Zealand,1994,2825.28325
New Zealand,1995,3065.995739
New Zealand,1996,5310
New Zealand,1997,4589
New Zealand,1998,4956.611829
New Zealand,1999,7838.6073
New Zealand,2000,9669.725694
New Zealand,2001,13026.756
New Zealand,2002,17134.416
New Zealand,2003,19682.65
New Zealand,2004,21858.0384
New Zealand,2005,16611.1692
New Zealand,2006,19654.3737
New Zealand,2007,25675.128
New Zealand,2008,20201.7985
New Zealand,2009,26974.9809
New Zealand,2010,32285.0576
New Zealand,2011,39027.78
Norway,1970,1831.817864
Norway,1971,1906.409101
Norway,1972,2297.687458
Norway,1973,3570.413159
Norway,1974,4437.716646
Norway,1975,4502.514097
Norway,1976,4798.673519
Norway,1977,5296.737129
Norway,1978,6076.385851
Norway,1979,7424.463439
Norway,1980,9218.53
Norway,1981,10048.04
Norway,1982,10116.1
Norway,1983,10095.46
Norway,1984,10247.06
Norway,1985,13372.24
Norway,1986,17700.81
Norway,1987,24217.09
Norway,1988,22358.76
Norway,1989,23349.51
Norway,1990,29746.25
Norway,1991,31823.03
Norway,1992,32279.44
Norway,1993,25671.85
Norway,1994,33869.58214
Norway,1995,37047.09708
Norway,1996,45771.26059
Norway,1997,57147.9175
Norway,1998,62136.31579
Norway,1999,74462.96411
Norway,2000,98899.24846
Norway,2001,115648.3865
Norway,2002,168051.7392
Norway,2003,219255.6886
Norway,2004,266133.1126
Norway,2005,299662.1861
Norway,2006,444926.0383
Norway,2007,548176.3401
Norway,2008,508682.7143
Norway,2009,477184.7751
Norway,2010,524111.6041
Norway,2011,556461.9366
Portugal,1970,n.a.
Portugal,1971,n.a.
Portugal,1972,804.8910481
Portugal,1973,903.2666206
Portugal,1974,1119.891619
Portugal,1975,1183.487948
Portugal,1976,1688.283816
Portugal,1977,2046.01317
Portugal,1978,2371.94436
Portugal,1979,3143.049858
Portugal,1980,3661.757422
Portugal,1981,3825.71671
Portugal,1982,4182.452372
Portugal,1983,5128.040301
Portugal,1984,5699.597201
Portugal,1985,6084.501777
Portugal,1986,7179.049777
Portugal,1987,7265.714827
Portugal,1988,8437.466577
Portugal,1989,8444.841207
Portugal,1990,10887.27321
Portugal,1991,12398.61421
Portugal,1992,14691.25148
Portugal,1993,25328.85773
Portugal,1994,37092.01357
Portugal,1995,45347.39955
Portugal,1996,59554.13705
Portugal,1997,73143.69322
Portugal,1998,92820.45566
Portugal,1999,90826.1382
Portugal,2000,102354.3643
Portugal,2001,113119.8221
Portugal,2002,146170.6418
Portugal,2003,207518.8877
Portugal,2004,236876.6187
Portugal,2005,221886.1537
Portugal,2006,264006.3258
Portugal,2007,310848.2709
Portugal,2008,288950.4008
Portugal,2009,322490.2592
Portugal,2010,307472.4708
Portugal,2011,261659.8469
Spain,1970,2386.359403
Spain,1971,3142.702092
Spain,1972,4950.093184
Spain,1973,7535.410614
Spain,1974,7133.795344
Spain,1975,7153.916037
Spain,1976,7821.438562
Spain,1977,9460.03621
Spain,1978,15208.30139
Spain,1979,21866.00567
Spain,1980,27009.25036
Spain,1981,27841.97024
Spain,1982,23445.6732
Spain,1983,21082.96107
Spain,1984,23502.88351
Spain,1985,27373.33766
Spain,1986,32424.1852
Spain,1987,35776.14679
Spain,1988,35432.34905
Spain,1989,45387.34962
Spain,1990,60997.80019
Spain,1991,69470.36279
Spain,1992,92935.97727
Spain,1993,144078.642
Spain,1994,144520.6051
Spain,1995,191410.8509
Spain,1996,184383.9269
Spain,1997,181302.8174
Spain,1998,247091.6748
Spain,1999,275632.4034
Spain,2000,299549.2585
Spain,2001,317401.1644
Spain,2002,447861.9194
Spain,2003,626465.3912
Spain,2004,758770.5429
Spain,2005,797504.5382
Spain,2006,959595.7009
Spain,2007,1110658.549
Spain,2008,1041886.844
Spain,2009,1053700.265
Spain,2010,865182.4653
Spain,2011,819547.9254
Sweden,1970,3949.68802
Sweden,1971,4206.231806
Sweden,1972,5137.068157
Sweden,1973,7319.84138
Sweden,1974,9924.377791
Sweden,1975,10683.58294
Sweden,1976,12746.72329
Sweden,1977,12739.65092
Sweden,1978,14516.91315
Sweden,1979,17178.95533
Sweden,1980,19231.61859
Sweden,1981,18472.15363
Sweden,1982,16999.11
Sweden,1983,19247.6
Sweden,1984,19022.19
Sweden,1985,22191.58
Sweden,1986,25663.59
Sweden,1987,34883.72
Sweden,1988,35406.86
Sweden,1989,45447.25
Sweden,1990,63004.56
Sweden,1991,64381.95
Sweden,1992,66448.96
Sweden,1993,54314.44572
Sweden,1994,64196.2072
Sweden,1995,87561.20273
Sweden,1996,101149.7599
Sweden,1997,83495.11235
Sweden,1998,96911.05322
