Country,Year,nfa
Sweden,1981,-15936
Sweden,1982,-18970
Sweden,1983,-19963
Sweden,1984,-18737
Sweden,1985,-21125
Sweden,1986,-25126
Sweden,1987,-28248
Sweden,1988,-34224
Sweden,1989,-41027
Sweden,1990,-61338
Sweden,1991,-67933
Sweden,1992,-60437
Sweden,1993,-82835
Sweden,1994,-96159
Sweden,1995,-98504
Sweden,1996,-105474
Sweden,1997,-98359
Sweden,1998,-97398
Sweden,1999,-88911
Sweden,2000,-85196
Sweden,2001,-55984
Sweden,2002,-64114
Sweden,2003,-72629
Sweden,2004,-101810
Sweden,2005,-74537
Sweden,2006,-52869
Sweden,2007,-11312
Sweden,2008,-49898
Sweden,2009,-44415
Sweden,2010,-37590
Sweden,2011,-45020
Switzerland,1970,28694
Switzerland,1971,34650
Switzerland,1972,37992
Switzerland,1973,41274
Switzerland,1974,49751
Switzerland,1975,51357
Switzerland,1976,53774
Switzerland,1977,60749
Switzerland,1978,78812
Switzerland,1979,83906
Switzerland,1980,84284
Switzerland,1981,81332
Switzerland,1982,88351
Switzerland,1983,64395
Switzerland,1984,78056
Switzerland,1985,94392
Switzerland,1986,110114
Switzerland,1987,161034
Switzerland,1988,164283
Switzerland,1989,161608
Switzerland,1990,186756
Switzerland,1991,203122
Switzerland,1992,204810
Switzerland,1993,209430
Switzerland,1994,232652
Switzerland,1995,255792
Switzerland,1996,294974
Switzerland,1997,267508
Switzerland,1998,315003
Switzerland,1999,309444
Switzerland,2000,264346
Switzerland,2001,303653
Switzerland,2002,371264
Switzerland,2003,437405
Switzerland,2004,489051
Switzerland,2005,457096
Switzerland,2006,495424
Switzerland,2007,660433
Switzerland,2008,587801
Switzerland,2009,718458
Switzerland,2010,788521
Switzerland,2011,821250
Turkey,1970,-2429
Turkey,1971,-2719
Turkey,1972,-2360
Turkey,1973,-2340
Turkey,1974,-3242
Turkey,1975,-4079
Turkey,1976,-4299
Turkey,1977,-10391
Turkey,1978,-13293
Turkey,1979,-14409
Turkey,1980,-16056
Turkey,1981,-15970
Turkey,1982,-16115
Turkey,1983,-16587
Turkey,1984,-16352
Turkey,1985,-21341
Turkey,1986,-27779
Turkey,1987,-34841
Turkey,1988,-33211
Turkey,1989,-33989
Turkey,1990,-42394
Turkey,1991,-42068
Turkey,1992,-44162
Turkey,1993,-54676
Turkey,1994,-53638
Turkey,1995,-57614
Turkey,1996,-59352
Turkey,1997,-63702
Turkey,1998,-71265
Turkey,1999,-88624
Turkey,2000,-97996
Turkey,2001,-84593
Turkey,2002,-85599
Turkey,2003,-105431
Turkey,2004,-128373
Turkey,2005,-174458
Turkey,2006,-206215
Turkey,2007,-314755
Turkey,2008,-202426
Turkey,2009,-278958
Turkey,2010,-365473
Turkey,2011,-328919
United Kingdom,1970,5948
United Kingdom,1971,10179
United Kingdom,1972,11893
United Kingdom,1973,8691
United Kingdom,1974,1033
United Kingdom,1975,586
